time,data
0.000244,-3.871076e-22
0.000732,-5.568775e-20
0.001221,-5.294336e-20
0.001709,-6.760584e-20
0.002197,-7.260229e-20
0.002686,-5.034375e-20
0.003174,-4.358302e-20
0.003662,-4.213717e-20
0.004150,-3.264077e-20
0.004639,-3.256725e-20
0.005127,-5.005373e-20
0.005615,-2.301186e-20
0.006104,-6.868138e-21
0.006592,-2.664773e-21
0.007080,-3.969032e-20
0.007568,2.154874e-23
0.008057,1.247542e-20
0.008545,1.935679e-20
0.009033,1.273135e-20
0.009521,-3.361952e-21
0.010010,2.891718e-20
0.010498,2.061634e-20
0.010986,4.724022e-20
0.011475,3.732725e-20
0.011963,1.840772e-20
0.012451,3.925219e-20
0.012939,6.708994e-20
0.013428,5.139742e-20
0.013916,6.098844e-20
0.014404,3.215081e-20
0.014893,6.273337e-20
0.015381,4.552907e-20
0.015869,6.559571e-20
0.016357,7.542288e-20
0.016846,6.533812e-20
0.017334,6.266812e-20
0.017822,7.207531e-20
0.018311,4.661575e-20
0.018799,5.325743e-20
0.019287,6.612376e-20
0.019775,6.499414e-20
0.020264,7.161352e-20
0.020752,6.484270e-20
0.021240,6.414074e-20
0.021729,4.547728e-20
0.022217,6.542929e-20
0.022705,4.410650e-20
0.023193,6.526289e-20
0.023682,3.833435e-20
0.024170,4.740153e-20
0.024658,6.185249e-20
0.025146,3.551959e-20
0.025635,3.948978e-20
0.026123,4.196075e-20
0.026611,2.931305e-20
0.027100,1.730092e-20
0.027588,3.361805e-20
0.028076,3.112171e-20
0.028564,2.699812e-21
0.029053,1.081113e-20
0.029541,5.958108e-21
0.030029,6.853579e-21
0.030518,-1.433462e-20
0.031006,-1.130270e-20
0.031494,1.799991e-20
0.031982,-1.696101e-20
0.032471,1.334426e-20
0.032959,-2.255392e-20
0.033447,-1.003583e-20
0.033936,-1.323237e-20
0.034424,-1.713353e-20
0.034912,-2.315007e-20
0.035400,3.887129e-22
0.035889,-3.402895e-20
0.036377,-4.311281e-20
0.036865,-8.220914e-21
0.037354,-4.781043e-20
0.037842,-4.830641e-20
0.038330,-2.864852e-20
0.038818,-3.347607e-20
0.039307,-4.091643e-20
0.039795,-4.832201e-20
0.040283,-5.100960e-20
0.040771,-3.896601e-20
0.041260,-4.731803e-20
0.041748,-4.994429e-20
0.042236,-4.552971e-20
0.042725,-4.031480e-20
0.043213,-5.158967e-20
0.043701,-3.592868e-20
0.044189,-3.892207e-20
0.044678,-4.319070e-20
0.045166,-4.529965e-20
0.045654,-5.147217e-20
0.046143,-4.360733e-20
0.046631,-4.048532e-20
0.047119,-3.588604e-20
0.047607,-7.983259e-20
0.048096,-1.952693e-20
0.048584,-3.637202e-20
0.049072,-4.317357e-20
0.049561,-5.719195e-20
0.050049,-3.354480e-20
0.050537,-2.415943e-20
0.051025,-2.837301e-20
0.051514,-4.230000e-20
0.052002,-5.053294e-20
0.052490,-3.310655e-20
0.052979,-2.436764e-20
0.053467,-2.807372e-20
0.053955,-2.715251e-20
0.054443,6.849762e-21
0.054932,-9.147086e-21
0.055420,-3.518036e-20
0.055908,-3.129820e-20
0.056396,-1.530395e-20
0.056885,-1.401309e-21
0.057373,-2.636441e-20
0.057861,-2.319994e-20
0.058350,-6.979864e-21
0.058838,-1.904536e-20
0.059326,4.461682e-21
0.059814,-1.994664e-20
0.060303,-8.355645e-21
0.060791,2.157905e-20
0.061279,-1.511192e-20
0.061768,-9.158264e-21
0.062256,2.072883e-20
0.062744,1.079965e-20
0.063232,-1.438590e-20
0.063721,5.700641e-21
0.064209,1.850694e-20
0.064697,4.009588e-20
0.065186,9.861824e-21
0.065674,-9.784835e-21
0.066162,1.647045e-20
0.066650,3.040352e-20
0.067139,4.100511e-20
0.067627,1.170925e-20
0.068115,5.817219e-21
0.068604,2.335923e-20
0.069092,2.229973e-20
0.069580,1.970687e-20
0.070068,5.098341e-20
0.070557,2.101302e-20
0.071045,-2.244832e-21
0.071533,3.098194e-20
0.072021,1.789486e-20
0.072510,2.786582e-20
0.072998,3.548557e-20
0.073486,3.908075e-20
0.073975,3.367692e-20
0.074463,3.734309e-20
0.074951,1.724271e-20
0.075439,4.182683e-20
0.075928,4.050603e-20
0.076416,2.197468e-20
0.076904,3.000338e-20
0.077393,3.158712e-20
0.077881,3.181706e-20
0.078369,3.541283e-20
0.078857,2.397276e-20
0.079346,5.546621e-20
0.079834,3.255189e-20
0.080322,4.837200e-20
0.080811,3.195210e-20
0.081299,4.055946e-20
0.081787,3.149109e-20
0.082275,2.569435e-20
0.082764,3.428491e-20
0.083252,2.782911e-20
0.083740,5.747215e-20
0.084229,1.085987e-20
0.084717,2.336363e-20
0.085205,2.660797e-20
0.085693,4.300939e-20
0.086182,5.666865e-20
0.086670,2.233335e-20
0.087158,3.873964e-20
0.087646,1.447303e-20
0.088135,3.043028e-20
0.088623,2.559998e-20
0.089111,2.502453e-20
0.089600,4.687474e-20
0.090088,9.091136e-22
0.090576,1.349434e-20
0.091064,2.963250e-20
0.091553,4.415809e-20
0.092041,2.261945e-20
0.092529,3.040155e-20
0.093018,-9.201493e-21
0.093506,2.293272e-20
0.093994,2.050041e-20
0.094482,2.679662e-20
0.094971,1.512723e-21
0.095459,4.832544e-21
0.095947,1.400669e-20
0.096436,5.536759e-21
0.096924,8.516229e-21
0.097412,1.760018e-21
0.097900,1.755840e-20
0.098389,1.668899e-20
0.098877,-1.988781e-21
0.099365,1.494547e-20
0.099854,2.828489e-21
0.100342,2.266932e-21
0.100830,1.204925e-20
0.101318,-6.323682e-21
0.101807,9.050141e-21
0.102295,-1.949965e-20
0.102783,-8.118023e-21
0.103271,7.055494e-21
0.103760,-4.215865e-21
0.104248,-6.595252e-21
0.104736,-1.994683e-20
0.105225,-8.803986e-21
0.105713,6.071498e-21
0.106201,-1.604493e-20
0.106689,-1.614449e-20
0.107178,-9.985257e-21
0.107666,-2.500339e-20
0.108154,-1.899226e-20
0.108643,-3.680879e-21
0.109131,-2.106501e-20
0.109619,2.819430e-21
0.110107,4.112408e-21
0.110596,-1.748104e-20
0.111084,-2.571657e-20
0.111572,1.389815e-20
0.112061,-1.078530e-20
0.112549,-1.503870e-21
0.113037,-1.631946e-20
0.113525,-2.223986e-20
0.114014,4.112314e-21
0.114502,-5.310004e-21
0.114990,7.197958e-21
0.115479,-5.716497e-21
0.115967,-5.832060e-21
0.116455,1.065581e-20
0.116943,-7.727163e-21
0.117432,1.377647e-20
0.117920,1.062669e-20
0.118408,1.266929e-20
0.118896,3.134051e-20
0.119385,1.553128e-20
0.119873,-2.850839e-22
0.120361,1.656711e-20
0.120850,8.558932e-21
0.121338,3.473336e-20
0.121826,2.854357e-20
0.122314,4.733835e-20
0.122803,1.988532e-20
0.123291,4.130921e-20
0.123779,4.207993e-20
0.124268,3.130106e-20
0.124756,2.561647e-20
0.125244,3.629907e-20
0.125732,7.828869e-20
0.126221,4.653398e-20
0.126709,4.079050e-20
0.127197,6.705762e-20
0.127686,3.491550e-20
0.128174,6.944251e-20
0.128662,5.555945e-20
0.129150,5.718650e-20
0.129639,7.585825e-20
0.130127,5.073473e-20
0.130615,4.347513e-20
0.131104,5.668432e-20
0.131592,4.258377e-20
0.132080,5.798386e-20
0.132568,6.480001e-20
0.133057,6.011946e-20
0.133545,5.436608e-20
0.134033,3.397166e-20
0.134521,4.983578e-20
0.135010,5.947985e-20
0.135498,3.103423e-20
0.135986,5.192945e-20
0.136475,5.201686e-20
0.136963,5.353470e-20
0.137451,2.048952e-20
0.137939,2.244386e-20
0.138428,4.422989e-20
0.138916,3.478133e-20
0.139404,1.039604e-20
0.139893,5.935636e-21
0.140381,7.327641e-21
0.140869,2.700333e-20
0.141357,6.523708e-21
0.141846,3.124161e-21
0.142334,-9.665581e-21
0.142822,4.057172e-21
0.143311,-2.338398e-20
0.143799,-2.364779e-20
0.144287,-4.052624e-20
0.144775,-1.883767e-20
0.145264,-2.862682e-20
0.145752,-3.952672e-20
0.146240,-6.319549e-20
0.146729,-6.241493e-20
0.147217,-5.941272e-20
0.147705,-6.358572e-20
0.148193,-6.001318e-20
0.148682,-7.287305e-20
0.149170,-7.077387e-20
0.149658,-7.787174e-20
0.150146,-9.438567e-20
0.150635,-9.890583e-20
0.151123,-1.087469e-19
0.151611,-1.040944e-19
0.152100,-6.920754e-20
0.152588,-1.076607e-19
0.153076,-1.108712e-19
0.153564,-1.199508e-19
0.154053,-1.061147e-19
0.154541,-1.008557e-19
0.155029,-1.336651e-19
0.155518,-1.093943e-19
0.156006,-1.179803e-19
0.156494,-1.086925e-19
0.156982,-1.180514e-19
0.157471,-1.221630e-19
0.157959,-1.197039e-19
0.158447,-1.166727e-19
0.158936,-1.258040e-19
0.159424,-1.233535e-19
0.159912,-1.063132e-19
0.160400,-1.106543e-19
0.160889,-1.170505e-19
0.161377,-1.057118e-19
0.161865,-1.297848e-19
0.162354,-8.555557e-20
0.162842,-1.333969e-19
0.163330,-9.752734e-20
0.163818,-1.022960e-19
0.164307,-1.229135e-19
0.164795,-1.074419e-19
0.165283,-9.413891e-20
0.165771,-1.130033e-19
0.166260,-7.331556e-20
0.166748,-8.328792e-20
0.167236,-9.946041e-20
0.167725,-8.421673e-20
0.168213,-8.442569e-20
0.168701,-6.425547e-20
0.169189,-6.692492e-20
0.169678,-8.403265e-20
0.170166,-4.609923e-20
0.170654,-5.091841e-20
0.171143,-6.173740e-20
0.171631,-4.927388e-20
0.172119,-4.699340e-20
0.172607,-4.086275e-20
0.173096,-1.916386e-20
0.173584,-6.976607e-20
0.174072,-2.669231e-20
0.174561,-2.529603e-20
0.175049,-2.089992e-20
0.175537,-1.105420e-20
0.176025,-1.522300e-20
0.176514,2.688866e-20
0.177002,-1.189309e-20
0.177490,-5.130765e-21
0.177979,1.871739e-21
0.178467,2.450435e-20
0.178955,2.270845e-20
0.179443,4.144737e-20
0.179932,2.136422e-20
0.180420,5.106308e-20
0.180908,2.067533e-20
0.181396,5.402667e-20
0.181885,5.424255e-20
0.182373,6.741725e-20
0.182861,5.962213e-20
0.183350,4.575694e-20
0.183838,7.438833e-20
0.184326,7.872385e-20
0.184814,7.704890e-20
0.185303,7.005431e-20
0.185791,7.786821e-20
0.186279,8.717451e-20
0.186768,8.611751e-20
0.187256,7.838371e-20
0.187744,7.878061e-20
0.188232,9.243028e-20
0.188721,1.053987e-19
0.189209,9.716844e-20
0.189697,8.940158e-20
0.190186,9.167886e-20
0.190674,1.117079e-19
0.191162,1.030400e-19
0.191650,8.906938e-20
0.192139,1.048437e-19
0.192627,9.338192e-20
0.193115,1.017259e-19
0.193604,1.104127e-19
0.194092,8.292190e-20
0.194580,1.071058e-19
0.195068,8.611866e-20
0.195557,1.013918e-19
0.196045,8.026763e-20
0.196533,8.419537e-20
0.197021,8.416689e-20
0.197510,8.647500e-20
0.197998,8.050136e-20
0.198486,8.291174e-20
0.198975,5.995066e-20
0.199463,9.467324e-20
0.199951,7.061462e-20
0.200439,6.600938e-20
