time,SNR
0.000244,1.274721
0.000732,1.331095
0.001221,1.273502
0.001709,1.125475
0.002197,0.944177
0.002686,0.790072
0.003174,0.675969
0.003662,0.600408
0.004150,0.585213
0.004639,0.672612
0.005127,0.868702
0.005615,1.152459
0.006104,1.496194
0.006592,1.846113
0.007080,2.117069
0.007568,2.231358
0.008057,2.158954
0.008545,1.928647
0.009033,1.642690
0.009521,1.417651
0.010010,1.307389
0.010498,1.260442
0.010986,1.199994
0.011475,1.098973
0.011963,0.992779
0.012451,0.952546
0.012939,1.030857
0.013428,1.213296
0.013916,1.417287
0.014404,1.563562
0.014893,1.599919
0.015381,1.535932
0.015869,1.435556
0.016357,1.375597
0.016846,1.380212
0.017334,1.404901
0.017822,1.392222
0.018311,1.322144
0.018799,1.208750
0.019287,1.075723
0.019775,0.936987
0.020264,0.807222
0.020752,0.701939
0.021240,0.634157
0.021729,0.615533
0.022217,0.646286
0.022705,0.702530
0.023193,0.750811
0.023682,0.759843
0.024170,0.718256
0.024658,0.647360
0.025146,0.585687
0.025635,0.576014
0.026123,0.629314
0.026611,0.724878
0.027100,0.840725
0.027588,0.965387
0.028076,1.095135
0.028564,1.210248
0.029053,1.259691
0.029541,1.192960
0.030029,1.002795
0.030518,0.725336
0.031006,0.427582
0.031494,0.202329
0.031982,0.213942
0.032471,0.379157
0.032959,0.549240
0.033447,0.696489
0.033936,0.833589
0.034424,1.003979
0.034912,1.209359
0.035400,1.386692
0.035889,1.456777
0.036377,1.384569
0.036865,1.188382
0.037354,0.939723
0.037842,0.719214
0.038330,0.571621
0.038818,0.494156
0.039307,0.499079
0.039795,0.594154
0.040283,0.709646
0.040771,0.768643
0.041260,0.766435
0.041748,0.774933
0.042236,0.872811
0.042725,1.022131
0.043213,1.133625
0.043701,1.159539
0.044189,1.113658
0.044678,1.033304
0.045166,0.920958
0.045654,0.744328
0.046143,0.488086
0.046631,0.211663
0.047119,0.220836
0.047607,0.433110
0.048096,0.616009
0.048584,0.800470
0.049072,1.008528
0.049561,1.200818
0.050049,1.334957
0.050537,1.402360
0.051025,1.438109
0.051514,1.468381
0.052002,1.468591
0.052490,1.380935
0.052979,1.166389
0.053467,0.838441
0.053955,0.451852
0.054443,0.088350
0.054932,0.288321
0.055420,0.603805
0.055908,0.908132
0.056396,1.179241
0.056885,1.365099
0.057373,1.436968
0.057861,1.415860
0.058350,1.360324
0.058838,1.319375
0.059326,1.277118
0.059814,1.181520
0.060303,1.009436
0.060791,0.775070
0.061279,0.511893
0.061768,0.252579
0.062256,0.051117
0.062744,0.275854
0.063232,0.547634
0.063721,0.801826
0.064209,0.990612
0.064697,1.080999
0.065186,1.065754
0.065674,0.982292
0.066162,0.895731
0.066650,0.849904
0.067139,0.840982
0.067627,0.843779
0.068115,0.864421
0.068604,0.936192
0.069092,1.072119
0.069580,1.234977
0.070068,1.356108
0.070557,1.390472
0.071045,1.351180
0.071533,1.319785
0.072021,1.394914
0.072510,1.569556
0.072998,1.713811
0.073486,1.707816
0.073975,1.510233
0.074463,1.166746
0.074951,0.756943
0.075439,0.363709
0.075928,0.106196
0.076416,0.310926
0.076904,0.529416
0.077393,0.665788
0.077881,0.689799
0.078369,0.613817
0.078857,0.503458
0.079346,0.433911
0.079834,0.405707
0.080322,0.354872
0.080811,0.299870
0.081299,0.375466
0.081787,0.573990
0.082275,0.814232
0.082764,1.103309
0.083252,1.460230
0.083740,1.835856
0.084229,2.132363
0.084717,2.263254
0.085205,2.194266
0.085693,1.980838
0.086182,1.724916
0.086670,1.508613
0.087158,1.348546
0.087646,1.195781
0.088135,1.005913
0.088623,0.799981
0.089111,0.659272
0.089600,0.675331
0.090088,0.844065
0.090576,1.062656
0.091064,1.239374
0.091553,1.332694
0.092041,1.348559
0.092529,1.338276
0.093018,1.354421
0.093506,1.397783
0.093994,1.421278
0.094482,1.381854
0.094971,1.258077
0.095459,1.074236
0.095947,0.877300
0.096436,0.727252
0.096924,0.671500
0.097412,0.714925
0.097900,0.803486
0.098389,0.882340
0.098877,0.948797
0.099365,1.044405
0.099854,1.202494
0.100342,1.392459
0.100830,1.540671
0.101318,1.591639
0.101807,1.538774
0.102295,1.409879
0.102783,1.245808
0.103271,1.074529
0.103760,0.910860
0.104248,0.773596
0.104736,0.683486
0.105225,0.648284
0.105713,0.647219
0.106201,0.665444
0.106689,0.716347
0.107178,0.805429
0.107666,0.906394
0.108154,0.983304
0.108643,1.014705
0.109131,0.997497
0.109619,0.947728
0.110107,0.889603
0.110596,0.834930
0.111084,0.784461
0.111572,0.754333
0.112061,0.766383
0.112549,0.827777
0.113037,0.901026
0.113525,0.948769
0.114014,0.957286
0.114502,0.930085
0.114990,0.873880
0.115479,0.816863
0.115967,0.785601
0.116455,0.783476
0.116943,0.779859
0.117432,0.735559
0.117920,0.641172
0.118408,0.534505
0.118896,0.476951
0.119385,0.523594
0.119873,0.650092
0.120361,0.795972
0.120850,0.907529
0.121338,0.946154
0.121826,0.897651
0.122314,0.778785
0.122803,0.622923
0.123291,0.470188
0.123779,0.362480
0.124268,0.331078
0.124756,0.365485
0.125244,0.418606
0.125732,0.451194
0.126221,0.452481
0.126709,0.442259
0.127197,0.448969
0.127686,0.486383
0.128174,0.534348
0.128662,0.558995
0.129150,0.552989
0.129639,0.577616
0.130127,0.713857
0.130615,0.944669
0.131104,1.183626
0.131592,1.361543
0.132080,1.447566
0.132568,1.460545
0.133057,1.438943
0.133545,1.413069
0.134033,1.378904
0.134521,1.318926
0.135010,1.219051
0.135498,1.096295
0.135986,1.016084
0.136475,1.035051
0.136963,1.113138
0.137451,1.155502
0.137939,1.110632
0.138428,0.997948
0.138916,0.884592
0.139404,0.833004
0.139893,0.826136
0.140381,0.809407
0.140869,0.800010
0.141357,0.877813
0.141846,1.052668
0.142334,1.225925
