time,template
0.000000,-0.000000e+00
0.000244,-2.193212e-25
0.000488,-8.876472e-25
0.000732,-2.012998e-24
0.000977,-3.593258e-24
0.001221,-5.616097e-24
0.001465,-8.059065e-24
0.001709,-1.088952e-23
0.001953,-1.406537e-23
0.002197,-1.753454e-23
0.002441,-2.123647e-23
0.002686,-2.510109e-23
0.002930,-2.905260e-23
0.003174,-3.300351e-23
0.003418,-3.686605e-23
0.003662,-4.054121e-23
0.003906,-4.392684e-23
0.004150,-4.691812e-23
0.004395,-4.940834e-23
0.004639,-5.128246e-23
0.004883,-5.243457e-23
0.005127,-5.275270e-23
0.005371,-5.212518e-23
0.005615,-5.044820e-23
0.005859,-4.761603e-23
0.006104,-4.354272e-23
0.006348,-3.811759e-23
0.006592,-3.127821e-23
0.006836,-2.293637e-23
0.007080,-1.303146e-23
0.007324,-1.496663e-24
0.007568,1.168037e-23
0.007812,2.656819e-23
0.008057,4.315038e-23
0.008301,6.144291e-23
0.008545,8.144981e-23
0.008789,1.031288e-22
0.009033,1.264365e-22
0.009277,1.513130e-22
0.009521,1.776909e-22
0.009766,2.054596e-22
0.010010,2.345180e-22
0.010254,2.647487e-22
0.010498,2.959997e-22
0.010742,3.281119e-22
0.010986,3.609187e-22
0.011230,3.942131e-22
0.011475,4.278072e-22
0.011719,4.614743e-22
0.011963,4.949838e-22
0.012207,5.280878e-22
0.012451,5.605509e-22
0.012695,5.920944e-22
0.012939,6.224578e-22
0.013184,6.513606e-22
0.013428,6.785230e-22
0.013672,7.036589e-22
0.013916,7.264876e-22
0.014160,7.467136e-22
0.014404,7.640672e-22
0.014648,7.782744e-22
0.014893,7.890447e-22
0.015137,7.961256e-22
0.015381,7.992775e-22
0.015625,7.982104e-22
0.015869,7.927769e-22
0.016113,7.826962e-22
0.016357,7.678248e-22
0.016602,7.479322e-22
0.016846,7.229523e-22
0.017090,6.926677e-22
0.017334,6.570499e-22
0.017578,6.160007e-22
0.017822,5.694423e-22
0.018066,5.173525e-22
0.018311,4.598474e-22
0.018555,3.967960e-22
0.018799,3.284968e-22
0.019043,2.548722e-22
0.019287,1.761431e-22
0.019531,9.248942e-23
0.019775,4.080719e-24
0.020020,-8.874577e-23
0.020264,-1.858441e-22
0.020508,-2.867598e-22
0.020752,-3.911882e-22
0.020996,-4.987466e-22
0.021240,-6.091171e-22
0.021484,-7.216146e-22
0.021729,-8.361011e-22
0.021973,-9.517875e-22
0.022217,-1.068244e-21
0.022461,-1.184965e-21
0.022705,-1.301331e-21
0.022949,-1.416712e-21
0.023193,-1.530663e-21
0.023438,-1.642358e-21
0.023682,-1.751248e-21
0.023926,-1.856727e-21
0.024170,-1.958112e-21
0.024414,-2.054728e-21
0.024658,-2.146034e-21
0.024902,-2.231261e-21
0.025146,-2.309845e-21
0.025391,-2.381143e-21
0.025635,-2.444552e-21
0.025879,-2.499485e-21
0.026123,-2.545377e-21
0.026367,-2.581685e-21
0.026611,-2.607901e-21
0.026855,-2.623552e-21
0.027100,-2.628176e-21
0.027344,-2.621358e-21
0.027588,-2.602866e-21
0.027832,-2.572157e-21
0.028076,-2.529226e-21
0.028320,-2.473656e-21
0.028564,-2.405372e-21
0.028809,-2.324337e-21
0.029053,-2.230322e-21
0.029297,-2.123534e-21
0.029541,-2.003989e-21
0.029785,-1.871832e-21
0.030029,-1.727181e-21
0.030273,-1.570294e-21
0.030518,-1.401688e-21
0.030762,-1.221475e-21
0.031006,-1.030518e-21
0.031250,-8.291546e-22
0.031494,-6.177574e-22
0.031738,-3.974205e-22
0.031982,-1.684146e-22
0.032227,6.814302e-23
0.032471,3.116508e-22
0.032715,5.611040e-22
0.032959,8.156819e-22
0.033203,1.074276e-21
0.033447,1.335731e-21
0.033691,1.599331e-21
0.033936,1.863604e-21
0.034180,2.127524e-21
0.034424,2.390031e-21
0.034668,2.649592e-21
0.034912,2.905537e-21
0.035156,3.156100e-21
